Sentence,class,file
"http://dx.doi.org/10.1091/mbc.E09-01-002 3 Dickinson, D.J., W.J.",Non-OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
"http://dx.doi.org/10.1126/science.119963 3 do Carmo Avides, M., and D.M.",OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
"http://dx.doi.org/10.1126/science.283.5408.173 3 Dujardin, D.L., and R.B.",OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
"http://dx.doi.org/10.1016/S0955-0674(01)00292- 7 Ereskovsky, A.V ., C. Borchiellini, E. Gazave, J. Ivanisevic, P. Lapébie, T. Perez,  E. Renard, and J. Vacelet.",OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
"http://dx.doi.org/10.1016/   j.cub.2007.11.04 9 Fededa, J.P., and D.W. Gerlich.",OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
"http://dx.doi.org/10.1038/ncb248 2 Fietz, S.A., I. Kelava, J. V ogt, M. Wilsch-Bräuninger, D. Stenzel, J.L.",Non-OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
"http://dx.doi.org/10   .1038/nn.255 3 Fish, J.L., Y .",OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
"http://dx.doi.org/   10.1073/pnas.060406610 3 Founounou, N., N. Loyer, and R. Le Borgne.",Non-OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
"http://dx.doi.org/   10.1016/j.devcel.2013.01.00 8 Gibson, M.C., A.B.",OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
442:1038– 1041. http://dx.doi.org/10.1038/nature0501 4,Non-OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
"http://dx.doi.org/   10.1016/j.cell.2005.09.04 3 Siller, K.H., and C.Q.",OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
"http://dx.doi.org/10.1038/ncb0409-36 5 Spear, P.C., and C.A.",Non-OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
"http://dx.doi   .org/10.1016/j.ydbio.2012.06.03 1 Spear, P.C., and C.A.",OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
http://dx.doi.org/10.1111/j.1440-169X.2012.01342.,Non-OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
"http://dx.doi.org/10.1016/j.cell   .2010.05.01 1 Takeichi, M. 1991.",OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
"http://dx.doi.org/10.1126/science.200641 9 Takeichi, M. 2011.",OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
"http://dx.doi.org/10.1016/j.devcel.2011.06.00 2 Tanaka, T.U.",OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
"http://dx.doi.org/10.1038/emboj   .2010.29 4 Tepass, U., G. Tanentzapf, R. Ward, and R. Fehon.",Non-OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
"http://dx.doi.org/10.1016/j.ceb.2006.10.00 1 Théry, M., V .",OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
"http://dx.doi.org/10.1038/ncb130 7 Théry, M., A. Jiménez-Dalmaroni, V .",Non-OADS,/arxiv_data1/oa_pdf/74/cd/JCB_201408044.PMC4210436.pdf
