Sentence,class,file
"URL: https://www.researchgate.net/publication/318333926_ Approximation_and_convergence_in_the_estimation_of_random_parameters_in_ linear_holomorphic_semigroups_generated_by_regularly_dissipative_operators , doi:10.23919/ACC.2017.7963435 .",OADS,/arxiv_data/pdf/1807/1807.04904v2.pdf
URL: https://arxiv.org/abs/1808.04058 .,Non-OADS,/arxiv_data/pdf/1807/1807.04904v2.pdf
"URL: https://www.cambridge.org/core/journals/acta-numerica/article/ inverse-problems-a-bayesian-perspective/587A3A0D480A1A7C2B1B284BCEDF7E23 ,doi: https://doi.org/10.1017/S0962492910000061 .",Non-OADS,/arxiv_data/pdf/1807/1807.04904v2.pdf
"URL: http://dx.doi.org/10.1111/j.1360-0443.1993.tb02122.x ,doi:10.1111/j.",OADS,/arxiv_data/pdf/1807/1807.04904v2.pdf
URL: http://dx.doi.,OADS,/arxiv_data/pdf/1807/1807.04904v2.pdf
"URL: http://dx.doi.org/10.1046/j.1359-6357.2003.00605.x ,doi:10.1046/j.",OADS,/arxiv_data/pdf/1807/1807.04904v2.pdf
"URL: https://www.ncbi.nlm.nih.gov/pubmed/ 1530135 ,doi:https://doi.org/10.1111/j.1530-0277.1992.tb00668.x .",OADS,/arxiv_data/pdf/1807/1807.04904v2.pdf
URL: https://books.google.com/books?id=Dn6zAAAAIAAJ .,Non-OADS,/arxiv_data/pdf/1807/1807.04904v2.pdf
"This includes the facts that “Bill” and “he” are both likely “crimi- nal” due to the “robbing” and “arresting,” while “John” is more likely a “victim” because he was “robbed.” Such ﬁne-grained types (victim, crimi- nal) are important for context-sensitive tasks such 1Our data and model can be downloaded from: http://nlp.cs.washington.edu/entity_typeSentence with Target Entity Entity Types During the Inca Empire, {the Inti Raymi }was the most important of four ceremonies celebrated in Cusco.event, festival, rit- ual, custom, cere- mony, party, cele- bration {They }have been asked to appear in court to face the charge.person, accused, suspect, defendant Ban praised Rwanda’s commit- ment to the UN and its role in {peacemaking operations }.event, plan, mis- sion, action Table 1: Examples of entity mentions and their an- notated types, as annotated in our dataset.",Non-OADS,/arxiv_data/pdf/1807/1807.04905v1.pdf
"12/14/2017https://homes.cs.washington.edu/~eunsol/ﬁnetype_visualization/onto_index.html https://homes.cs.washington.edu/~eunsol/ﬁnetype_visualization/onto_index.html1/1personlitical_ﬁgulegalartistauthotitleorganization companygovernmenothernews persolocationcountry citystructureotheranizatograpernmansother legalproductcurrencyeventpersonartwriting ng_thfoodealtand_ atmadccar a) Our Datasetb) OntoNotesc) FIGER Other12/15/2017https://homes.cs.washington.edu/~eunsol/ﬁnetype_visualization/ours_index.html https://homes.cs.washington.edu/~eunsol/ﬁnetype_visualization/ours_index.html1/1personorganizationeventobjectleader groupadult placemale locationpolitician administrationareatimegovernmentconceptcompany athletecountryregion nationteam ideaman ofﬁcialstate institutionauthoritybusiness ocial_grouprofessiona pokespersocity positionplayer femaleagencyperforme periodorporatioontestanenterprise activitypresidenpokesmawomannsequen ﬁrmworkeraction rganismwriter unicipalmmunica expertdateresentaspaceactormusicia nesspecitizen speakecrimina unitministra sociatirvicem partyartistinessm reportpoint angemownshi calizatitructur tertain dayappeni conteseporteocume mployeelebritshow ormatidirectoyear mmittblicati conﬂiccientis sportcoach uildintuatio militarygameball_p soldiefriendmusic ofﬁce reatocholalawacemesong armyroducatherin moneympetit forceanimameetinatemeecord dividurisonesquad nalysvictimlicemuratiobattle essagaveleplansingearacttitle dar_mname reem vocandidaclubchildsemb nditiobstan movieland doctory_seceho tudenistricaterirainemaste evicfenda ograurnalvesto atienpolicy writinontrarritoystem llplaysast choortain matcheratiactoble attacoposfoodwar amilyache rulempaigagenastrohangaim plomeekdrulerﬁlmndmaoublpart mmuus_l oliticwspagisla ubjecctresalbumdata oces versmouhoic rrorielativ plandemi fundppordy_pumb ownnammarke awyeecut ecisioressbeliee_evisio lamachirrenuca upatesmolleghome cussesu areninistbook workvernslatuipm tatuislat nanceath g_thaguetwo fereeasu onteorma car eatiobodycceinnemmo posgmeband er_plicatwo jobrivepousplayruggnes gotiadeaufacowe spe newcase ligioeasoemb peecheaduniectar_ve hingstituudg of_eelinnom ucatrticlﬁghgine ehic_of_ome mattecashwifecrip temounc oducurreove toc llag resseaderscideossking mpalop girlilwactio ectvotequidfespinio ssuspumic_ nionctiopic rowsitedus souremipita stigrumbillrisimba warian apiteat kplecti oths_p adyancgua aceocietem stostar ketpservrooliat ughouroadounontrow ion ouritrutne dicnceonvadc_tradm cus gatsocimina tormublmen fugmpu_ag arristivoursnda lanuthowm ont dvisporojencipalu entatmnnzenprize onoolicervtorspoden ngdtain vemboaula factollarrat ial_ppoprodic sweaolfeapoess nogoaiva venerserieolit icipstomailurace roleil_lpio birdproarlinmst sumctio of_twa pathudemdrug fﬁchea wnegovghtevilia ecial_ anoarave rga ffompoabit erccluageplapome ordecia m_s osistigfor e_neke on_ship tionc_g ssitarystafrga rimpasera phiconsainric hievspl boysummp cosan roﬁpeclohurc al_sog cincili maﬁcu artnc otiaatis vertifaanesencidca aucmincedup comlec gdgymortritiper athe _seeloale ooptautima mondin ourcadmodlaseit arence resoupatio n_cemha falluild dishcor gdadiuex rmini akricna atehar odapulaorm entn_gs_ndin ackeaclidurn er mpacrangreotio nceermvinalit nemumraiunt gazor sidemisaso otermdeectco ashav ffaexceatthiaidpaiatext_ cto_pvisifer ou naanerw rtnceratec cipb_s duounltuar mbetr_sc ertaho otetituctontec ruc esutwgi macul emde gridodre urg riecovive ophgre rcr actsonab vetfobraent onric nsiws ervﬁreer ape allyeal ancripint al_mig necualtra bbyanolu inedre ya_mroo houaiskosrts raneta toron easbaud mea xhipre otbseb easewotuoyativ ymou scaot endstm alk lennn ov nisousoxe worera plishaaploside ille m litap_a duc oureectionedic onusaernkie rgess raartmlet asssta win troal anronma oya pemumedadothnoesblin urngititer gw ayerspase ctuish swns hwrderia sh esistag seneamm shchgr ng tispaere tin vere upar_ve_ ettdo traensco ouuisar wodit _inadell emarnilofe jet ctusp reaetsien uieig rdelua ta mmgepro sean ndge rnca aw12/15/2017https://homes.cs.washington.edu/~eunsol/ﬁnetype_visualization/onto_index.html https://homes.cs.washington.edu/~eunsol/ﬁnetype_visualization/onto_index.html1/1/other/person /organization/location/company /legal/city /country12/15/2017https://homes.cs.washington.edu/~eunsol/ﬁnetype_visualization/ﬁger_index.html https://homes.cs.washington.edu/~eunsol/ﬁnetype_visualization/ﬁger_index.html1/1/person/organization /location/time/company ational_ins/event/building /artitten_wo/country nment_aPersonOtherPersonFigure 1: A visualization of all the labels that cover 90% of the data, where a bubble’s size is proportional to the label’s frequency.",Non-OADS,/arxiv_data/pdf/1807/1807.04905v1.pdf
